Column Name,Data Type,Nullable,Default
contratado_id,BIGINT,True,
ano_disponibilizado,BIGINT,True,
mes_disponibilizado,TEXT,True,
sigla_orgao_superior_gestora,TEXT,True,
numero_siafi_gestora,BIGINT,True,
sigla_gestora,TEXT,True,
nome_gestora,TEXT,True,
sigla_orgao_trabalho,TEXT,True,
orgao_trabalho,TEXT,True,
numero_siafi_orgao_trabalho,BIGINT,True,
numero_siape_orgao_trabalho,BIGINT,True,
unidade_trabalho,TEXT,True,
numero_empresa_terceirizada_cnpj,BIGINT,True,
empresa_terceirizada_razao_social,TEXT,True,
numero_contrato,TEXT,True,
categoria_profissional_cbo,TEXT,True,
jornada_trabalho_horas_semanais,BIGINT,True,
escolaridade_exigida,TEXT,True,
valor_reais_mensal_salario,DOUBLE PRECISION,True,
valor_reais_mensal_custo,DOUBLE PRECISION,True,
contratado_cnpj,TEXT,True,
contratado_nome,TEXT,True,
timestamp_captura,TIMESTAMP,True,
